episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,hit_at_k,dependency_regret
120,ACH-000435,PCBP1,7,-1.2144197430446797,0.16,8,1.0544197430446798,0,0,8,0,1.0,0.0
121,ACH-000444,NCAPD2,9,-0.9101675378565698,0.16,8,0.7501675378565698,0,0,8,0,1.0,0.0
122,ACH-000550,ACTB,6,-0.4093304546178296,0.19999999999999998,10,0.2093304546178296,0,0,10,0,1.0,0.46488483913483936
123,ACH-000202,DHX15,7,-1.5603753944787944,0.16,8,1.4003753944787944,0,0,8,0,1.0,0.0
124,ACH-000630,EIF1AX,12,-1.7184123899316928,0.18,9,1.5384123899316928,0,0,9,0,1.0,0.0
125,ACH-000435,CENPN,6,-1.3138085117378966,0.16,8,1.1538085117378967,0,0,8,0,1.0,0.0
126,ACH-001547,CDK4,14,-0.8052898946111552,0.32,16,0.4852898946111552,0,0,16,0,1.0,0.10574724058563545
127,ACH-000381,SON,1,-1.3178974419789236,0.32,16,0.9978974419789235,0,0,16,0,1.0,0.0
128,ACH-003590,KIF18A,4,-0.4572071597217676,0.16,8,0.2972071597217676,0,0,8,0,1.0,1.4824221829709767
129,ACH-000697,XPO1,9,-1.6673873371808343,0.32,16,1.3473873371808343,0,0,16,0,1.0,0.0
130,ACH-003590,ACTB,2,-0.624993842490314,0.32,16,0.30499384249031397,0,0,16,0,1.0,0.1829439256312697
131,ACH-001618,RAC1,7,-0.5196874153108226,0.32,16,0.19968741531082262,0,0,16,0,1.0,0.0
132,ACH-002291,EIF1AX,2,-1.409706001597285,0.23999999999999996,12,1.169706001597285,0,0,12,0,1.0,0.13243210658184146
133,ACH-000417,CENPN,6,-1.2824836897688998,0.16,8,1.1224836897689,0,0,8,0,1.0,0.0
134,ACH-000030,ERCC2,4,-1.1273249788982052,0.16,8,0.9673249788982051,0,0,8,0,1.0,0.0
135,ACH-000502,NCAPD2,4,-1.0243374170035542,0.16,8,0.8643374170035542,0,0,8,0,1.0,1.1027527219040867
136,ACH-001737,SF3B1,11,-0.7187099201397293,0.16,8,0.5587099201397293,0,0,8,0,1.0,0.0
137,ACH-000142,WTAP,11,-1.0638638336997115,0.34,17,0.7238638336997114,0,1,16,0,1.0,0.0
138,ACH-000142,PCBP1,15,-1.1112604220968678,0.3,15,0.8112604220968678,0,0,15,0,1.0,0.0
139,ACH-000663,MYC,5,-2.759575666560158,0.16,8,2.599575666560158,0,0,8,0,1.0,0.0
140,ACH-002693,TRRAP,12,-1.4066703765444402,0.18,9,1.2266703765444402,0,0,9,0,1.0,0.26732992998717875
141,ACH-000907,ZNF407,15,-0.8580242296585346,0.32,16,0.5380242296585347,0,0,16,0,1.0,0.0
142,ACH-000191,MTOR,1,-1.5200101364742378,0.3,15,1.2200101364742377,0,0,15,0,1.0,0.0
143,ACH-001205,KIF18A,6,-1.3110815341011517,0.16,8,1.1510815341011518,0,0,8,0,1.0,0.0
144,ACH-001054,DHPS,5,-1.0606998419172935,0.16,8,0.9006998419172935,0,0,8,0,1.0,0.6457240686593555
145,ACH-001054,MAX,7,-1.1230648489770083,0.3,15,0.8230648489770083,0,0,15,0,1.0,0.0
146,ACH-000290,CENPN,12,-2.055378645838476,0.18,9,1.8753786458384762,0,0,9,0,1.0,0.0
147,ACH-000637,KRAS,4,-0.4886298252399219,0.32,16,0.16862982523992187,0,0,16,0,1.0,0.2163431459760608
148,ACH-000223,PPP2R1A,6,-1.2776289107398469,0.16,8,1.117628910739847,0,0,8,0,1.0,0.9669145449714371
149,ACH-000202,XPO1,15,-2.4623882885323574,0.3,15,2.1623882885323575,0,0,15,0,1.0,0.0
150,ACH-000766,EIF2B3,15,-1.4415745007187497,0.32,16,1.1215745007187496,0,0,16,0,1.0,0.0
151,ACH-000018,CRNKL1,15,-1.3573837037877192,0.3,15,1.0573837037877192,0,0,15,0,1.0,0.0
152,ACH-000552,NUP93,8,-1.988610418135661,0.34,17,1.648610418135661,0,1,16,0,1.0,0.003266681648611325
153,ACH-001791,XPO1,14,-1.731651520438891,0.25999999999999995,13,1.471651520438891,0,0,13,0,1.0,0.0
154,ACH-000469,SMC4,9,-1.3708292784667455,0.16,8,1.2108292784667456,0,0,8,0,1.0,0.0
155,ACH-000469,CTCF,8,-2.08450226416171,0.16,8,1.92450226416171,0,0,8,0,1.0,0.0
156,ACH-000907,KMT2D,15,-0.7279692946491073,0.5600000000000002,28,0.16796929464910715,0,12,16,0,1.0,0.0
157,ACH-000290,TRRAP,0,-1.4776946644347249,0.32,16,1.1576946644347248,0,0,16,0,1.0,0.0
158,ACH-000959,XPO1,1,-1.6401295267301568,0.27999999999999997,14,1.3601295267301567,0,0,14,0,1.0,0.0
159,ACH-000403,CCND1,3,-2.4699660093226887,0.19999999999999998,10,2.2699660093226885,0,0,10,0,1.0,0.0
160,ACH-000142,EIF2B3,13,-1.241897786052116,0.21999999999999997,11,1.0218977860521161,0,0,11,0,1.0,0.0
161,ACH-000005,ICE1,15,-1.0828698518243396,0.32,16,0.7628698518243395,0,0,16,0,1.0,0.0
162,ACH-000391,PCBP1,12,-1.7174563987104494,0.18,9,1.5374563987104495,0,0,9,0,1.0,0.0
163,ACH-000961,NUP93,9,-1.1884718497052158,0.16,8,1.0284718497052159,0,0,8,0,1.0,0.0
164,ACH-001791,ACTB,15,-1.3760937816439247,0.3,15,1.0760937816439247,0,0,15,0,1.0,0.0
165,ACH-000390,NCAPD2,11,-0.8384761356812878,0.16,8,0.6784761356812877,0,0,8,0,1.0,0.08251745565145663
166,ACH-000907,H3-3A,5,-1.8302285329313743,0.16,8,1.6702285329313744,0,0,8,0,1.0,0.0
167,ACH-000478,UPF2,6,-1.166028748892864,0.16,8,1.006028748892864,0,0,8,0,1.0,0.0
168,ACH-000581,PCBP1,5,-2.2499284891836515,0.16,8,2.0899284891836514,0,0,8,0,1.0,0.0
169,ACH-000581,VHL,2,-0.8644318666771075,0.27999999999999997,14,0.5844318666771076,0,0,14,0,1.0,0.0
170,ACH-000627,EIF1AX,4,-1.4355083394998862,0.16,8,1.2755083394998863,0,0,8,0,1.0,0.0
171,ACH-003590,FH,14,-1.325625198587841,0.6200000000000002,31,0.7056251985878407,0,15,16,0,1.0,0.04585743042591628
172,ACH-000417,ERCC2,5,-0.8262062662983468,0.16,8,0.6662062662983468,0,0,8,0,1.0,0.8359095886985223
173,ACH-000390,CNOT3,13,-2.093369945836571,0.21999999999999997,11,1.873369945836571,0,0,11,0,1.0,0.0
174,ACH-002019,SRSF2,9,-2.353075517751252,0.16,8,2.193075517751252,0,0,8,0,1.0,0.0
175,ACH-003590,EEF1A1,11,-2.724452372795984,0.16,8,2.564452372795984,0,0,8,0,1.0,0.0
176,ACH-001303,KIF14,13,-0.7449197283293212,0.32,16,0.4249197283293212,0,0,16,0,1.0,0.32944876301460435
177,ACH-002693,PCBP1,4,-1.0777625975916714,0.16,8,0.9177625975916713,0,0,8,0,1.0,0.2546857675742211
178,ACH-000959,ERCC3,6,-1.0748707295552438,0.16,8,0.9148707295552437,0,0,8,0,1.0,0.0
179,ACH-000403,PCBP1,6,-1.5558466469233587,0.16,8,1.3958466469233588,0,0,8,0,1.0,0.5922545613868309
180,ACH-001054,SMARCB1,3,-0.8051013439719648,0.32,16,0.48510134397196475,0,0,16,0,1.0,0.31796350500504356
181,ACH-000663,CTCF,10,-1.4904973971951645,0.16,8,1.3304973971951646,0,0,8,0,1.0,0.0
182,ACH-000766,SON,5,-1.0561203469987368,0.16,8,0.8961203469987368,0,0,8,0,1.0,0.0
183,ACH-001303,ZNF407,5,-0.7818755650231843,0.32,16,0.46187556502318433,0,0,16,0,1.0,0.0
184,ACH-001303,NUP93,6,-1.0639610996716418,0.16,8,0.9039610996716417,0,0,8,0,1.0,0.0
185,ACH-000961,ACTB,9,-0.6052655879722274,0.32,16,0.2852655879722274,0,0,16,0,1.0,0.13664183862976864
186,ACH-002400,NCAPD2,6,-0.8349964852485954,0.16,8,0.6749964852485953,0,0,8,0,1.0,0.36728075834828466
187,ACH-001618,ZNHIT6,1,-0.5933930188417006,0.32,16,0.2733930188417006,0,0,16,0,1.0,0.21367124348917466
188,ACH-000356,H3-3A,5,-1.620465889852731,0.16,8,1.4604658898527312,0,0,8,0,1.0,0.0
189,ACH-000128,NCAPD2,13,-0.9519928862137184,0.21999999999999997,11,0.7319928862137184,0,0,11,0,1.0,0.249701329576127
190,ACH-000907,POLE,13,-1.8763408418349936,0.21999999999999997,11,1.6563408418349936,0,0,11,0,1.0,0.0
191,ACH-000663,XRCC5,15,-0.6614284621896582,0.32,16,0.3414284621896582,0,0,16,0,1.0,0.0
192,ACH-001211,DHX15,1,-1.3809214589653864,0.27999999999999997,14,1.1009214589653864,0,0,14,0,1.0,0.0
193,ACH-000627,CENPN,1,-1.5982953939314108,0.27999999999999997,14,1.3182953939314108,0,0,14,0,1.0,0.0
194,ACH-000978,MAX,7,-0.4634070439746457,0.34,17,0.12340704397464569,0,1,16,0,1.0,0.6453325315299904
195,ACH-000030,RFC5,5,-1.3671085668382634,0.16,8,1.2071085668382635,0,0,8,0,1.0,0.0
196,ACH-000323,PPP2R1A,0,-0.898039718989138,0.32,16,0.578039718989138,0,0,16,0,1.0,0.0
197,ACH-000718,SON,3,-1.0569710340092704,0.19999999999999998,10,0.8569710340092704,0,0,10,0,1.0,0.0
198,ACH-000191,ERCC3,9,-0.8501639389452178,0.32,16,0.5301639389452177,0,0,16,0,1.0,0.42910946014115625
199,ACH-000146,VHL,13,-0.7129209945385427,0.32,16,0.39292099453854273,0,0,16,0,1.0,0.0
200,ACH-000018,CNOT3,9,-1.23862475628707,0.16,8,1.07862475628707,0,0,8,0,1.0,0.0
201,ACH-000391,XRCC5,4,-1.0061926959527208,0.16,8,0.8461926959527207,0,0,8,0,1.0,0.0
202,ACH-002705,SMC4,0,-1.090581893587797,0.32,16,0.7705818935877968,0,0,16,0,1.0,0.0
203,ACH-000753,SRSF2,11,-2.622386782842411,0.16,8,2.462386782842411,0,0,8,0,1.0,0.0
204,ACH-000627,SMARCB1,15,-1.0601014150921129,0.32,16,0.7401014150921128,0,0,16,0,1.0,0.0
205,ACH-002705,EIF2B3,6,-2.019464075578163,0.16,8,1.859464075578163,0,0,8,0,1.0,0.0
206,ACH-000391,MED12,12,-0.7786423925269963,0.32,16,0.4586423925269963,0,0,16,0,1.0,0.0
